Flip 1 coin 1000 times with Head (0) or Tails (1):
1,Tails
1,Tails
1,Tails
0,Heads
0,Heads
0,Heads
0,Heads
1,Tails
1,Tails
0,Heads
1,Tails
1,Tails
0,Heads
1,Tails
0,Heads
0,Heads
1,Tails
1,Tails
0,Heads
1,Tails
1,Tails
0,Heads
1,Tails
0,Heads
1,Tails
1,Tails
0,Heads
0,Heads
1,Tails
1,Tails
0,Heads
1,Tails
1,Tails
0,Heads
0,Heads
0,Heads
0,Heads
0,Heads
0,Heads
0,Heads
1,Tails
1,Tails
0,Heads
1,Tails
0,Heads
0,Heads
0,Heads
1,Tails
0,Heads
1,Tails
0,Heads
0,Heads
0,Heads
0,Heads
1,Tails
0,Heads
0,Heads
1,Tails
1,Tails
1,Tails
1,Tails
0,Heads
1,Tails
1,Tails
1,Tails
0,Heads
0,Heads
0,Heads
0,Heads
0,Heads
1,Tails
0,Heads
0,Heads
0,Heads
1,Tails
1,Tails
1,Tails
0,Heads
0,Heads
0,Heads
0,Heads
1,Tails
1,Tails
0,Heads
0,Heads
1,Tails
0,Heads
0,Heads
1,Tails
1,Tails
0,Heads
1,Tails
1,Tails
1,Tails
0,Heads
1,Tails
0,Heads
1,Tails
1,Tails
0,Heads
Total Heads 53
Total Tails 47
